game_id,commence_time,in_play,bookmaker,last_update,home_team,away_team,market,label,description,price,point
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetOnline.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,spreads,Baltimore Ravens,,-110,-7.5
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetOnline.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,spreads,Miami Dolphins,,-110,7.5
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetOnline.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,totals,Over,,-110,51
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetOnline.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,totals,Under,,-110,51
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,Bovada,10/30/2025,Miami Dolphins,Baltimore Ravens,h2h,Baltimore Ravens,,-430,
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,Bovada,10/30/2025,Miami Dolphins,Baltimore Ravens,h2h,Miami Dolphins,,320,
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,Bovada,10/30/2025,Miami Dolphins,Baltimore Ravens,spreads,Baltimore Ravens,,-115,-7.5
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,Bovada,10/30/2025,Miami Dolphins,Baltimore Ravens,spreads,Miami Dolphins,,-105,7.5
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,Bovada,10/30/2025,Miami Dolphins,Baltimore Ravens,totals,Over,,-115,51
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,Bovada,10/30/2025,Miami Dolphins,Baltimore Ravens,totals,Under,,-105,51
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,DraftKings,10/30/2025,New England Patriots,Atlanta Falcons,h2h,Atlanta Falcons,,210,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,DraftKings,10/30/2025,New England Patriots,Atlanta Falcons,h2h,New England Patriots,,-258,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,DraftKings,10/30/2025,New England Patriots,Atlanta Falcons,spreads,Atlanta Falcons,,-110,5.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,DraftKings,10/30/2025,New England Patriots,Atlanta Falcons,spreads,New England Patriots,,-110,-5.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,DraftKings,10/30/2025,New England Patriots,Atlanta Falcons,totals,Over,,-120,44.5
